frame,score_dynamic,score_dynamic_smoothed_w5,component_rarity,component_transition_surprise,component_local_density
319,49.25,44.625,,,49.25
320,44.625,44.625,,,44.625
321,56.875,49.25,,,56.875
322,19.0,44.625,,,19.0
323,77.125,56.875,,,77.125
324,29.875,29.875,,,29.875
325,61.375,61.375,,,61.375
326,18.75,29.875,,,18.75
327,77.75,47.5,,,77.75
328,27.500000000000004,27.500000000000004,,,27.500000000000004
329,47.5,31.624999999999996,,,47.5
330,13.375,31.624999999999996,,,13.375
331,31.624999999999996,37.125,,,31.624999999999996
332,75.875,37.125,,,75.875
333,37.125,45.0,,,37.125
334,45.0,54.25,,,45.0
335,75.75,54.25,,,75.75
336,54.25,54.25,,,54.25
337,74.5,54.25,,,74.5
338,28.625,54.25,,,28.625
339,43.375,44.125,,,43.375
340,60.5,43.375,,,60.5
341,44.125,43.375,,,44.125
342,25.75,44.125,,,25.75
343,28.375,44.125,,,28.375
344,99.625,45.625,,,99.625
345,45.625,45.625,,,45.625
346,94.875,45.625,,,94.875
347,7.124999999999999,45.625,,,7.124999999999999
348,38.5,38.5,,,38.5
349,57.75,38.5,,,57.75
350,30.875000000000004,38.875,,,30.875000000000004
351,52.37500000000001,49.5,,,52.37500000000001
352,38.875,49.5,,,38.875
353,49.5,52.37500000000001,,,49.5
354,97.75,49.5,,,97.75
355,93.0,49.5,,,93.0
356,34.5,61.0,,,34.5
357,5.875,55.375,,,5.875
358,61.0,34.5,,,61.0
359,55.375,55.375,,,55.375
360,22.875,61.0,,,22.875
361,68.25,55.875,,,68.25
362,63.24999999999999,55.875,,,63.24999999999999
363,55.875,55.875,,,55.875
364,18.25,45.375,,,18.25
365,45.375,45.375,,,45.375
366,40.0,45.375,,,40.0
367,64.375,64.375,,,64.375
368,68.875,68.875,,,68.875
369,81.25,68.875,,,81.25
370,77.0,68.875,,,77.0
371,49.125,54.625,,,49.125
372,39.125,49.125,,,39.125
373,54.625,39.125,,,54.625
374,37.375,39.125,,,37.375
375,37.875,54.625,,,37.875
376,90.0,38.0,,,90.0
377,64.875,44.875,,,64.875
378,38.0,44.875,,,38.0
379,44.875,44.875,,,44.875
380,27.750000000000004,44.875,,,27.750000000000004
381,47.875,47.875,,,47.875
382,59.375,53.125,,,59.375
383,53.125,59.375,,,53.125
384,64.5,63.87500000000001,,,64.5
385,67.25,64.5,,,67.25
386,63.87500000000001,64.5,,,63.87500000000001
387,66.125,63.87500000000001,,,66.125
388,43.875,61.12499999999999,,,43.875
389,61.12499999999999,56.75,,,61.12499999999999
390,51.0,51.0,,,51.0
391,56.75,56.75,,,56.75
392,50.5,51.0,,,50.5
393,57.375,56.75,,,57.375
394,47.625,50.5,,,47.625
395,61.75000000000001,57.375,,,61.75000000000001
396,45.875,57.49999999999999,,,45.875
397,57.49999999999999,60.25,,,57.49999999999999
398,63.0,60.25,,,63.0
399,60.25,63.0,,,60.25
400,98.375,63.0,,,98.375
401,84.25,84.25,,,84.25
402,54.50000000000001,90.125,,,54.50000000000001
403,93.875,84.25,,,93.875
404,90.125,54.50000000000001,,,90.125
405,52.125,85.875,,,52.125
406,49.75,52.125,,,49.75
407,85.875,52.125,,,85.875
408,51.24999999999999,69.375,,,51.24999999999999
409,89.875,85.875,,,89.875
410,69.375,73.625,,,69.375
411,87.75,73.625,,,87.75
412,73.625,69.375,,,73.625
413,49.0,60.0,,,49.0
414,60.0,54.37499999999999,,,60.0
415,49.375,54.37499999999999,,,49.375
416,54.37499999999999,60.0,,,54.37499999999999
417,65.875,65.875,,,65.875
418,72.0,65.875,,,72.0
419,82.625,72.0,,,82.625
420,54.0,72.0,,,54.0
421,82.375,70.0,,,82.375
422,50.625,70.0,,,50.625
423,70.0,70.0,,,70.0
424,73.875,58.12500000000001,,,73.875
425,58.12500000000001,58.12500000000001,,,58.12500000000001
426,43.625,56.125,,,43.625
427,56.125,46.5,,,56.125
428,36.625,46.5,,,36.625
429,46.5,56.125,,,46.5
430,68.125,63.625,,,68.125
431,63.625,68.125,,,63.625
432,69.0,68.125,,,69.0
433,70.75,64.625,,,70.75
434,64.625,64.625,,,64.625
435,39.0,53.5,,,39.0
436,53.5,53.5,,,53.5
437,51.74999999999999,53.5,,,51.74999999999999
438,58.75,58.75,,,58.75
439,68.625,58.75,,,68.625
440,61.625,58.75,,,61.625
441,55.125,55.125,,,55.125
442,29.25,55.125,,,29.25
443,16.125,29.25,,,16.125
444,59.62499999999999,17.875,,,59.62499999999999
445,17.875,17.875,,,17.875
446,2.875,17.875,,,2.875
447,39.375,17.875,,,39.375
448,17.125,39.375,,,17.125
449,83.875,39.375,,,83.875
450,52.625,29.625,,,52.625
451,5.25,52.625,,,5.25
452,29.625,31.25,,,29.625
453,70.125,29.625,,,70.125
454,31.25,30.625000000000004,,,31.25
455,12.0,30.625000000000004,,,12.0
456,30.625000000000004,26.25,,,30.625000000000004
457,20.75,26.25,,,20.75
458,26.25,30.625000000000004,,,26.25
459,35.75,26.25,,,35.75
460,31.5,31.5,,,31.5
461,2.25,31.5,,,2.25
462,52.87500000000001,31.5,,,52.87500000000001
463,25.0,32.25,,,25.0
464,32.25,32.25,,,32.25
465,85.375,25.0,,,85.375
466,24.5,32.25,,,24.5
467,0.0,34.75,,,0.0
468,34.75,34.75,,,34.75
469,47.25,34.75,,,47.25
470,48.25,34.75,,,48.25
471,10.875,47.25,,,10.875
472,15.75,15.75,,,15.75
473,56.25,10.875,,,56.25
474,3.375,13.125,,,3.375
475,0.5,13.125,,,0.5
476,13.125,13.125,,,13.125
477,37.625,13.125,,,37.625
478,41.875,22.125,,,41.875
479,4.875,22.125,,,4.875
480,22.125,18.5,,,22.125
481,18.5,18.5,,,18.5
482,5.375,22.125,,,5.375
483,38.25,35.25,,,38.25
484,35.25,35.25,,,35.25
485,54.75,38.25,,,54.75
486,8.875,42.25,,,8.875
487,47.125,42.25,,,47.125
488,42.25,35.5,,,42.25
489,14.625,35.5,,,14.625
490,35.5,32.375,,,35.5
491,22.25,32.375,,,22.25
492,32.375,35.5,,,32.375
493,78.875,34.0,,,78.875
494,67.625,34.0,,,67.625
495,34.0,49.875,,,34.0
496,26.0,34.0,,,26.0
497,49.875,26.0,,,49.875
498,1.625,19.125,,,1.625
